linux_symbol	kind	linux_source	rust_symbol	rust_path	rust_visibility	rust_parity	status	notes
__mem_cgroup_try_charge_swap	prototype	vendor/linux/include/linux/swap.h	__mem_cgroup_try_charge_swap	src/mm/swap.rs	pub	complete	complete	exact name exists in a complete parity file
__mem_cgroup_uncharge_swap	prototype	vendor/linux/include/linux/swap.h	__mem_cgroup_uncharge_swap	src/mm/swap.rs	pub	complete	complete	exact name exists in a complete parity file
__memcg_memory_event	export	vendor/linux/mm/memcontrol.c	__memcg_memory_event	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__might_fault	export	vendor/linux/mm/memory.c	__might_fault	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__mk_vma_flags	inline	vendor/linux/include/linux/mm.h	__mk_vma_flags	src/mm/mm_types.rs	pub	complete	complete	exact name exists in a complete parity file
__mm_flags_get_bitmap	inline	vendor/linux/include/linux/mm_types.h	__mm_flags_get_bitmap	src/mm/mm_types.rs	pub	complete	complete	exact name exists in a complete parity file
__mm_flags_get_word	inline	vendor/linux/include/linux/mm_types.h	__mm_flags_get_word	src/mm/mm_types.rs	pub	complete	complete	exact name exists in a complete parity file
__mm_flags_overwrite_word	inline	vendor/linux/include/linux/mm_types.h	__mm_flags_overwrite_word	src/mm/mm_types.rs	pub	complete	complete	exact name exists in a complete parity file
__mm_flags_set_mask_bits_word	inline	vendor/linux/include/linux/mm_types.h	__mm_flags_set_mask_bits_word	src/mm/mm_types.rs	pub	complete	complete	exact name exists in a complete parity file
__mm_populate	prototype	vendor/linux/include/linux/mm.h	__mm_populate	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__mm_zero_struct_page	inline	vendor/linux/include/linux/mm.h	__mm_zero_struct_page	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__mmap_lock_do_trace_acquire_returned	export	vendor/linux/mm/mmap_lock.c	__mmap_lock_do_trace_acquire_returned	src/mm/mmap_lock.rs	pub	complete	complete	exact name exists in a complete parity file
__mmap_lock_do_trace_released	export	vendor/linux/mm/mmap_lock.c;vendor/linux/include/linux/mmap_lock.h	__mmap_lock_do_trace_released	src/mm/mmap_lock.rs	pub	complete	complete	exact name exists in a complete parity file
__mmap_lock_do_trace_start_locking	export	vendor/linux/mm/mmap_lock.c;vendor/linux/include/linux/mmap_lock.h	__mmap_lock_do_trace_start_locking	src/mm/mmap_lock.rs	pub	complete	complete	exact name exists in a complete parity file
__mmap_lock_trace_acquire_returned	inline	vendor/linux/include/linux/mmap_lock.h	__mmap_lock_trace_acquire_returned	src/mm/mmap_lock.rs	pub	complete	complete	exact name exists in a complete parity file
__mmap_lock_trace_released	inline	vendor/linux/include/linux/mmap_lock.h	__mmap_lock_trace_released	src/mm/mmap_lock.rs	pub	complete	complete	exact name exists in a complete parity file
__mmap_lock_trace_start_locking	inline	vendor/linux/include/linux/mmap_lock.h	__mmap_lock_trace_start_locking	src/mm/mmap_lock.rs	pub	complete	complete	exact name exists in a complete parity file
__mmu_notifier_arch_invalidate_secondary_tlbs	prototype	vendor/linux/include/linux/mmu_notifier.h	__mmu_notifier_arch_invalidate_secondary_tlbs	src/mm/mmu_notifier.rs	pub	complete	complete	exact name exists in a complete parity file
__mmu_notifier_invalidate_range_end	prototype	vendor/linux/include/linux/mmu_notifier.h	__mmu_notifier_invalidate_range_end	src/mm/mmu_notifier.rs	pub	complete	complete	exact name exists in a complete parity file
__mmu_notifier_invalidate_range_start	prototype	vendor/linux/include/linux/mmu_notifier.h	__mmu_notifier_invalidate_range_start	src/mm/mmu_notifier.rs	pub	complete	complete	exact name exists in a complete parity file
__mmu_notifier_register	export	vendor/linux/mm/mmu_notifier.c;vendor/linux/include/linux/mmu_notifier.h	__mmu_notifier_register	src/mm/mmu_notifier.rs	pub	complete	complete	exact name exists in a complete parity file
__mmu_notifier_release	prototype	vendor/linux/include/linux/mmu_notifier.h	__mmu_notifier_release	src/mm/mmu_notifier.rs	pub	complete	complete	exact name exists in a complete parity file
__mmu_notifier_subscriptions_destroy	prototype	vendor/linux/include/linux/mmu_notifier.h	__mmu_notifier_subscriptions_destroy	src/mm/mmu_notifier.rs	pub	complete	complete	exact name exists in a complete parity file
__mod_node_page_state	export	vendor/linux/mm/vmstat.c	__mod_node_page_state	src/mm/vmstat.rs	pub	complete	complete	exact name exists in a complete parity file
__mod_zone_page_state	export	vendor/linux/mm/vmstat.c	__mod_zone_page_state	src/mm/vmstat.rs	pub	complete	complete	exact name exists in a complete parity file
__mpol_dup	prototype	vendor/linux/include/linux/mempolicy.h	__mpol_dup	src/mm/mempolicy.rs	pub	complete	complete	exact name exists in a complete parity file
__mpol_equal	prototype	vendor/linux/include/linux/mempolicy.h	__mpol_equal	src/mm/mempolicy.rs	pub	complete	complete	exact name exists in a complete parity file
__mpol_put	export	vendor/linux/mm/mempolicy.c;vendor/linux/include/linux/mempolicy.h	__mpol_put	src/mm/mempolicy.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_chain_origin	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_chain_origin	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_get_context_state	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_get_context_state	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_instrument_asm_store	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_instrument_asm_store	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_memcpy	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_memcpy	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_memmove	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_memmove	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
